name,category,country_code,region,city,status,funding_total_usd,funding_rounds,founded_at,first_funding_at,last_funding_at
21Diamonds,E-Commerce & Retail,IND,New Delhi,Gurgaon,operating,6369507.0,1,2012-06-01,2012-11-15,2012-11-15
21 Inc,Analytics & Data,USA,SF Bay Area,San Francisco,operating,121050000.0,2,2013-05-01,2013-11-17,2015-03-10
21GRAMS,Technology,SWE,Stockholm,Stockholm,operating,2580000.0,1,2004-07-15,2006-04-03,2006-04-03
21st Century Oncology,Health & Biotechnology,USA,Fort Myers,Fort Myers,operating,325000000.0,1,2011-09-07,2014-09-26,2014-09-26
22nd Century Group,Health & Biotechnology,USA,NY - Other,Clarence,ipo,15034750.0,6,1998-01-01,2010-12-28,2014-09-18
22seeds,Technology,ISR,Tel Aviv,Tel Aviv,closed,250000.0,1,2010-01-01,2013-10-15,2013-10-15
2345.com,Technology,CHN,Shanghai,Shanghai,operating,1610541.0,2,2005-09-01,2010-05-01,2010-10-01
2359 Media,Technology,SGP,Singapore,Singapore,operating,615000.0,1,2009-02-01,2011-01-11,2011-01-11
23press,Social & Communication,CAN,Toronto,Toronto,operating,50000.0,1,2011-06-01,2011-08-15,2011-08-15
24/7 Card,Finance & FinTech,USA,Los Angeles,Los Angeles,closed,3452941.0,3,2009-06-11,2010-10-25,2011-12-21
[24]7,Business Services,USA,SF Bay Area,Campbell,operating,600000.0,1,2000-04-01,2003-07-01,2003-07-01
24 Hour Pro Muscle Gym,Other,USA,Florida's Space Coast,Rockledge,operating,935000.0,1,2014-07-15,2014-10-23,2014-10-23
24 Media Network,Media & Entertainment,SWE,Stockholm,Stockholm,operating,1209701.0,2,2007-06-13,2008-09-01,2009-01-01
24 Quan,Real Estate & Construction,Unknown,Unknown,Unknown,operating,1284152.0,2,2008-12-03,2010-05-01,2011-11-01
24x7 Learning,Education & EdTech,IND,Bangalore,Bangalore,operating,4000000.0,1,2001-01-01,2007-11-06,2007-11-06
247 Techies,Technology,USA,New York City,New York,operating,600000.0,1,2011-02-17,2012-11-05,2012-11-05
248 SolidState,Technology,USA,Los Angeles,Rolling Hills Estates,operating,500000.0,1,2007-01-01,2009-07-23,2009-07-23
24fab,Unknown,ESP,Madrid,Madrid,operating,1825000.0,2,2013-04-10,2014-09-11,2015-07-20
24Fundraiser.com,Other,USA,Chicago,Willowbrook,operating,400000.0,1,2007-08-01,2014-05-01,2014-05-01
24h00,Marketing & Advertising,FRA,Paris,Paris,closed,534000.0,1,2006-01-01,2006-08-01,2006-08-01
24i,Technology,NLD,Amsterdam,Amsterdam,operating,2000000.0,1,2009-01-01,2015-04-10,2015-04-10
24M Technologies,Energy & Clean Tech,USA,Salisbury,Cambridge,operating,16000000.0,1,2010-01-01,2010-08-16,2010-08-16
24me,Analytics & Data,Unknown,Unknown,Unknown,operating,250000.0,1,2013-01-01,2014-05-02,2014-05-02
24med Sp,Unknown,Unknown,Unknown,Unknown,closed,1400000.0,1,2006-07-31,2008-01-01,2008-01-01
